observation_date,NASDAQ100
2021-12-27,16567.500
2021-12-28,16488.660
2021-12-29,16491.010
2021-12-30,16429.100
2021-12-31,16320.080
2022-01-03,16501.770
2022-01-04,16279.730
2022-01-05,15771.780
2022-01-06,15765.360
2022-01-07,15592.190
2022-01-10,15614.430
2022-01-11,15844.120
2022-01-12,15905.100
2022-01-13,15495.620
2022-01-14,15611.590
2022-01-17,
2022-01-18,15210.760
2022-01-19,15047.840
2022-01-20,14846.460
2022-01-21,14438.400
2022-01-24,14509.580
2022-01-25,14149.120
2022-01-26,14172.760
2022-01-27,14003.110
2022-01-28,14454.610
2022-01-31,14930.050
2022-02-01,15019.680
2022-02-02,15139.740
2022-02-03,14501.110
2022-02-04,14694.350
2022-02-07,14571.250
2022-02-08,14747.030
2022-02-09,15056.960
2022-02-10,14705.640
2022-02-11,14253.840
2022-02-14,14268.590
2022-02-15,14620.820
2022-02-16,14603.640
2022-02-17,14171.740
2022-02-18,14009.540
2022-02-21,
2022-02-22,13870.530
2022-02-23,13509.430
2022-02-24,13974.670
2022-02-25,14189.160
2022-02-28,14237.810
2022-03-01,14005.990
2022-03-02,14243.690
2022-03-03,14035.210
2022-03-04,13837.830
2022-03-07,13319.380
2022-03-08,13267.600
2022-03-09,13742.200
2022-03-10,13591.000
2022-03-11,13301.830
2022-03-14,13046.640
2022-03-15,13458.560
2022-03-16,13956.790
2022-03-17,14118.600
2022-03-18,14420.080
2022-03-21,14376.090
2022-03-22,14654.330
2022-03-23,14447.550
2022-03-24,14765.690
2022-03-25,14754.310
2022-03-28,14987.400
2022-03-29,15239.320
2022-03-30,15071.550
2022-03-31,14838.490
2022-04-01,14861.210
2022-04-04,15159.580
2022-04-05,14820.640
2022-04-06,14498.880
2022-04-07,14531.810
2022-04-08,14327.260
2022-04-11,13990.210
2022-04-12,13940.240
2022-04-13,14217.290
2022-04-14,13893.210
2022-04-15,
2022-04-18,13910.760
2022-04-19,14210.260
2022-04-20,13998.530
2022-04-21,13720.450
2022-04-22,13356.870
2022-04-25,13533.220
2022-04-26,13009.710
2022-04-27,13003.360
2022-04-28,13456.060
2022-04-29,12854.800
2022-05-02,13075.850
2022-05-03,13089.900
2022-05-04,13535.710
2022-05-05,12850.550
2022-05-06,12693.530
2022-05-09,12187.720
2022-05-10,12345.860
2022-05-11,11967.560
2022-05-12,11945.500
2022-05-13,12387.400
2022-05-16,12243.580
2022-05-17,12564.100
2022-05-18,11928.310
2022-05-19,11875.630
2022-05-20,11835.620
2022-05-23,12034.280
2022-05-24,11769.840
2022-05-25,11943.930
2022-05-26,12276.790
2022-05-27,12681.420
2022-05-30,
2022-05-31,12642.100
2022-06-01,12548.360
2022-06-02,12892.890
2022-06-03,12548.030
2022-06-06,12599.630
2022-06-07,12711.680
2022-06-08,12615.130
2022-06-09,12269.780
2022-06-10,11832.820
2022-06-13,11288.320
2022-06-14,11311.690
2022-06-15,11593.770
2022-06-16,11127.570
2022-06-17,11265.990
2022-06-20,
2022-06-21,11546.760
2022-06-22,11527.710
2022-06-23,11697.680
2022-06-24,12105.850
2022-06-27,12008.240
2022-06-28,11637.770
2022-06-29,11658.260
2022-06-30,11503.720
2022-07-01,11585.680
2022-07-04,
2022-07-05,11779.900
2022-07-06,11852.590
2022-07-07,12109.050
2022-07-08,12125.690
2022-07-11,11860.280
2022-07-12,11744.990
2022-07-13,11728.530
2022-07-14,11768.400
2022-07-15,11983.620
2022-07-18,11877.500
2022-07-19,12249.420
2022-07-20,12439.680
2022-07-21,12619.410
2022-07-22,12396.470
2022-07-25,12328.410
2022-07-26,12086.900
2022-07-27,12601.470
2022-07-28,12717.870
2022-07-29,12947.970
2022-08-01,12940.780
2022-08-02,12901.600
2022-08-03,13253.260
2022-08-04,13311.040
2022-08-05,13207.690
2022-08-08,13159.160
2022-08-09,13008.170
2022-08-10,13378.320
2022-08-11,13291.990
2022-08-12,13565.870
2022-08-15,13667.180
2022-08-16,13635.210
2022-08-17,13470.860
2022-08-18,13505.990
2022-08-19,13242.900
2022-08-22,12890.540
2022-08-23,12881.790
2022-08-24,12917.860
2022-08-25,13143.580
2022-08-26,12605.170
2022-08-29,12484.320
2022-08-30,12342.700
2022-08-31,12272.030
2022-09-01,12274.620
2022-09-02,12098.440
2022-09-05,
2022-09-06,12011.310
2022-09-07,12259.390
2022-09-08,12321.190
2022-09-09,12588.290
2022-09-12,12739.720
2022-09-13,12033.620
2022-09-14,12134.400
2022-09-15,11927.490
2022-09-16,11861.380
2022-09-19,11953.270
2022-09-20,11851.540
2022-09-21,11637.790
2022-09-22,11501.650
2022-09-23,11311.240
2022-09-26,11254.110
2022-09-27,11271.750
2022-09-28,11493.830
2022-09-29,11164.780
2022-09-30,10971.220
2022-10-03,11229.730
2022-10-04,11582.540
