observation_date,NASDAQ100
2019-06-10,7501.930
2019-06-11,7513.850
2019-06-12,7472.290
2019-06-13,7510.680
2019-06-14,7479.110
2019-06-17,7526.520
2019-06-18,7635.400
2019-06-19,7667.740
2019-06-20,7738.050
2019-06-21,7728.780
2019-06-24,7723.020
2019-06-25,7591.540
2019-06-26,7627.050
2019-06-27,7657.050
2019-06-28,7671.070
2019-07-01,7768.140
2019-07-02,7799.820
2019-07-03,7857.690
2019-07-04,
2019-07-05,7841.300
2019-07-08,7785.790
2019-07-09,7826.860
2019-07-10,7903.400
2019-07-11,7896.780
2019-07-12,7943.240
2019-07-15,7966.930
2019-07-16,7927.080
2019-07-17,7888.760
2019-07-18,7904.130
2019-07-19,7834.900
2019-07-22,7905.120
2019-07-23,7954.560
2019-07-24,8010.600
2019-07-25,7929.870
2019-07-26,8016.950
2019-07-29,7989.080
2019-07-30,7952.470
2019-07-31,7848.780
2019-08-01,7801.150
2019-08-02,7692.800
2019-08-05,7415.690
2019-08-06,7521.320
2019-08-07,7551.900
2019-08-08,7724.830
2019-08-09,7646.270
2019-08-12,7561.680
2019-08-13,7728.150
2019-08-14,7490.130
2019-08-15,7484.890
2019-08-16,7604.110
2019-08-19,7719.320
2019-08-20,7664.470
2019-08-21,7733.220
2019-08-22,7707.430
2019-08-23,7464.990
2019-08-26,7575.020
2019-08-27,7566.030
2019-08-28,7587.900
2019-08-29,7702.310
2019-08-30,7691.000
2019-09-02,
2019-09-03,7609.510
2019-09-04,7719.250
2019-09-05,7862.540
2019-09-06,7852.540
2019-09-09,7832.400
2019-09-10,7814.740
2019-09-11,7887.580
2019-09-12,7917.340
2019-09-13,7892.950
2019-09-16,7852.410
2019-09-17,7888.790
2019-09-18,7888.560
2019-09-19,7901.790
2019-09-20,7823.550
2019-09-23,7818.610
2019-09-24,7710.040
2019-09-25,7803.540
2019-09-26,7771.990
2019-09-27,7681.580
2019-09-30,7749.450
2019-10-01,7684.140
2019-10-02,7550.790
2019-10-03,7638.390
2019-10-04,7754.100
2019-10-07,7725.130
2019-10-08,7604.270
2019-10-09,7690.530
2019-10-10,7740.360
2019-10-11,7843.870
2019-10-14,7842.330
2019-10-15,7942.850
2019-10-16,7920.210
2019-10-17,7942.140
2019-10-18,7868.490
2019-10-21,7940.330
2019-10-22,7874.620
2019-10-23,7889.470
2019-10-24,7966.720
2019-10-25,8029.220
2019-10-28,8110.670
2019-10-29,8047.510
2019-10-30,8083.110
2019-10-31,8083.830
2019-11-01,8161.170
2019-11-04,8210.660
2019-11-05,8210.180
2019-11-06,8196.030
2019-11-07,8219.650
2019-11-08,8255.890
2019-11-11,8241.910
2019-11-12,8263.790
2019-11-13,8259.810
2019-11-14,8257.830
2019-11-15,8315.520
2019-11-18,8328.480
2019-11-19,8338.740
2019-11-20,8283.750
2019-11-21,8265.620
2019-11-22,8272.050
2019-11-25,8371.930
2019-11-26,8385.750
2019-11-27,8444.710
2019-11-28,
2019-11-29,8403.680
2019-12-02,8309.260
2019-12-03,8254.740
2019-12-04,8296.530
2019-12-05,8308.400
2019-12-06,8397.370
2019-12-09,8362.740
2019-12-10,8354.290
2019-12-11,8402.610
2019-12-12,8466.890
2019-12-13,8487.710
2019-12-16,8570.330
2019-12-17,8575.700
2019-12-18,8580.620
2019-12-19,8641.290
2019-12-20,8678.490
2019-12-23,8696.010
2019-12-24,8699.510
2019-12-25,
2019-12-26,8778.310
2019-12-27,8770.980
2019-12-30,8709.730
2019-12-31,8733.070
2020-01-01,
2020-01-02,8872.220
2020-01-03,8793.900
2020-01-06,8848.520
2020-01-07,8846.450
2020-01-08,8912.370
2020-01-09,8989.630
2020-01-10,8966.640
2020-01-13,9070.650
2020-01-14,9033.420
2020-01-15,9035.670
2020-01-16,9125.000
2020-01-17,9173.730
2020-01-20,
2020-01-21,9166.630
2020-01-22,9188.570
2020-01-23,9216.980
2020-01-24,9141.470
2020-01-27,8952.180
2020-01-28,9090.930
2020-01-29,9101.610
2020-01-30,9136.090
2020-01-31,8991.510
2020-02-03,9126.230
2020-02-04,9334.060
2020-02-05,9367.480
2020-02-06,9445.920
2020-02-07,9401.100
2020-02-10,9516.840
2020-02-11,9517.860
2020-02-12,9613.200
2020-02-13,9595.700
2020-02-14,9623.580
